R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Terry Etim,Renee Forte,Renee Forte,Lightweight,-15.24,-5.08,2,-6,3,4.4,-1.0,-0.3
Paul Sass,Danny Castillo,Danny Castillo,Lightweight,-7.62,-5.08,-9,1,-1,30.75,-2.083333333,2.416666667
Andy Ogle,Josh Grispi,Andy Ogle,Featherweight,7.62,12.7,0,0,-2,-41.0,0.666666667,1.0
Tom Watson,Stanislav Nedkov,Tom Watson,Middleweight,-5.08,-5.08,-1,1,0,-41.5,0.0,0.0
Vaughan Lee,Motonobu Tezuka,Vaughan Lee,Bantamweight,2.54,0.0,5,-1,1,5.0,-1.333333333,0.666666667
Phil Harris,Ulysses Gomez,Phil Harris,Flyweight,5.08,5.08,0,0,0,6.0,0.0,-2.0
Jose Aldo,Frankie Edgar,Jose Aldo,Featherweight,-2.54,-5.08,-5,6,-4,7.0,0.128205129,1.564102564
Rashad Evans,Rogerio Nogueira,Rogerio Nogueira,Light Heavyweight,5.08,0.0,-3,-9,1,-3.26666667,0.2,-3.0
Alistair Overeem,Antonio Silva,Antonio Silva,Heavyweight,0.0,0.0,-1,0,-1,-11.0,0.0,0.0
Jon Fitch,Demian Maia,Demian Maia,Welterweight,2.54,-10.16,-1,-3,-1,-17.97254902,0.168627451,-1.478431373
Joseph Benavidez,Ian McCall,Joseph Benavidez,Flyweight,2.54,-2.54,0,-3,-1,15.0,-0.75,1.0
Gleison Tibau,Evan Dunham,Evan Dunham,Lightweight,0.0,-2.54,-2,-5,3,36.49673203,0.509803921,-2.379084968
Tyron Woodley,Jay Hieron,Tyron Woodley,Welterweight,7.62,2.54,-6,0,-3,15.66666667,1.0,3.0
Jacob Volkmann,Bobby Green,Bobby Green,Lightweight,2.54,0.0,6,-6,3,-14.22222222,-1.666666667,-2.222222222
Yves Edwards,Isaac Vallie-Flagg,Isaac Vallie-Flagg,Lightweight,-2.54,-12.7,2,-10,6,-25.25,-0.625,-0.25
Chico Camus,Dustin Kimura,Dustin Kimura,Bantamweight,2.54,12.7,5,-1,0,-32.0,-1.0,-2.0
Edwin Figueroa,Francisco Rivera,Francisco Rivera,Bantamweight,2.54,-2.54,-3,-1,-1,11.0,0.666666667,0.0
Demetrious Johnson,John Dodson,Demetrious Johnson,Flyweight,0.0,0.0,-2,-1,2,-19.33333333,0.0,-3.166666666
Rampage Jackson,Glover Teixeira,Glover Teixeira,Light Heavyweight,2.54,7.62,1,-5,4,17.09090909,1.0,0.954545455
Anthony Pettis,Donald Cerrone,Anthony Pettis,Lightweight,7.62,2.54,-4,4,0,35.19047619,-0.047619047,-1.428571429
Erik Koch,Ricardo Lamas,Ricardo Lamas,Featherweight,-5.08,0.0,-6,1,0,-1.66666667,1.666666667,1.0
TJ Grant,Matt Wiman,TJ Grant,Lightweight,0.0,-10.16,-1,3,-1,-14.16239316,0.829059829,0.29059829
Clay Guida,Hatsu Hioki,Clay Guida,Featherweight,10.16,0.0,2,-7,6,7.8125,-0.145833333,-0.333333333
Mike Stumpf,Pascal Krauss,Pascal Krauss,Welterweight,7.62,2.54,1,1,0,41.5,0.0,2.0
Ryan Bader,Vladimir Matyushenko,Ryan Bader,Light Heavyweight,-5.08,0.0,-13,0,-1,-6.35454545,-0.109090909,-0.272727273
